# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     32      0      0      0      0      0      0   1215    210      0      1      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     52     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     52     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     32      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     32      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     29      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     32      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     32      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     32      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     29      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     32      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     32      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     32      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     28     32      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     32      0      0      0      0      0      0   1215    210      0      1      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     31      0      0      0      0      0      0   1215    210      0      1      0 
    0     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    1     51     29     28      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     30     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     52     30     38      0      0      0      0      0      0   1215    210      0      1      0 
    0     56     31     31      0      0      0      0      0      0   1215    210      0      1      0 
    1     53     29     29      0      0      0      0      0      0   1215    210      0      1      0 
    2     53     29     30      0      0      0      0      0      0   1215    210      0      1      0 
    3     53     28     31      0      0      0      0      0      0   1215    210      0      1      0 
